video_id,frame_idx,t,track_id,class,conf_det,u,v,w,h
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1096559,car,0.4434,4.6,747.8,336.0,150.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097753,truck,0.4334,4.3,731.5,338.2,166.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097794,car,0.4086,683.1,307.1,56.2,47.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097885,car,0.7822,890.3,681.6,166.4,81.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097886,car,0.7942,1448.0,550.5,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097887,person,0.6787,537.6,924.0,36.0,88.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097888,car,0.7675,1644.9,536.9,145.6,59.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097889,car,0.5998,473.8,357.5,51.9,45.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097890,car,0.4853,640.5,498.0,65.5,57.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097891,car,0.5383,1438.5,854.9,304.5,176.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097892,car,0.4863,552.6,305.8,55.0,41.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097804,person,0.4674,1786.6,626.4,35.1,89.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097039,person,0.3150,1742.0,619.2,44.7,106.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097896,person,0.3229,1703.7,612.2,46.0,71.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097916,person,0.3923,182.6,513.4,30.6,70.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,11,0.366667,1097911,car,0.2930,1449.5,858.2,191.8,84.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1096423,car,0.5643,728.6,336.1,50.1,40.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097053,car,0.5354,24.7,673.3,223.2,89.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1096559,car,0.4086,0.0,733.2,357.0,166.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097753,truck,0.4847,2.8,729.8,341.3,168.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097794,car,0.4039,683.0,306.8,56.9,47.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097885,car,0.7931,884.2,679.3,165.2,80.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097886,car,0.7888,1447.9,550.6,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097887,person,0.6582,537.9,923.9,35.6,87.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097888,car,0.7702,1644.3,536.8,146.3,59.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097889,car,0.6213,474.5,358.1,52.8,46.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097890,car,0.4563,643.0,501.8,62.8,54.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097891,truck,0.3962,1441.9,863.1,285.7,166.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097892,car,0.5503,551.7,306.2,54.2,40.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097804,person,0.4555,1786.3,625.5,35.7,90.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097039,person,0.3464,1741.7,619.0,45.1,106.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097896,person,0.2873,1701.6,611.2,46.8,72.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097916,person,0.3623,181.8,513.6,31.1,71.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097911,car,0.3521,1442.0,856.4,185.9,82.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,12,0.400000,1097902,traffic light,0.2633,856.0,555.0,30.1,67.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1096423,car,0.5570,729.0,337.1,49.4,39.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097053,car,0.5358,24.4,673.3,223.3,89.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1096559,car,0.4211,0.0,740.8,347.2,158.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097753,truck,0.4690,2.6,729.5,341.7,168.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097794,car,0.4064,683.0,306.8,57.2,47.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097885,car,0.8433,881.2,678.4,160.8,77.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097886,car,0.7884,1447.9,550.6,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097887,person,0.6984,537.4,923.7,36.2,89.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097888,car,0.7738,1643.7,536.8,147.0,59.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097889,car,0.6649,477.4,361.9,49.8,43.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097890,car,0.4901,642.5,500.3,65.8,57.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097891,truck,0.3526,1451.8,873.1,262.0,151.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097892,car,0.4935,553.0,308.6,51.6,38.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,13,0.433333,1097804,person,0.4373,1786.8,625.1,35.9,90.6
